strict,relaxed,nDCG,Recall,k_values,collection,count
"{'nDCG': {'@1': 0.28723, '@3': 0.26597, '@5': 0.29963, '@10': 0.3384}, 'Recall': {'@1': 0.13378, '@3': 0.25842, '@5': 0.33582, '@10': 0.42195}}","{'nDCG': {'@1': 0.37234, '@3': 0.38558, '@5': 0.42888, '@10': 0.45824}, 'Recall': {'@1': 0.21179, '@3': 0.39797, '@5': 0.49528, '@10': 0.56123}}","[0.28723, 0.26597, 0.29963, 0.3384]","[0.13378, 0.25842, 0.33582, 0.42195]","[1, 3, 5, 10]",mt-rag-ibmcloud-elser-512-100-20240502,205
"{'nDCG': {'@1': 0.44231, '@3': 0.41606, '@5': 0.45037, '@10': 0.51987}, 'Recall': {'@1': 0.17737, '@3': 0.38916, '@5': 0.48929, '@10': 0.65188}}","{'nDCG': {'@1': 0.44231, '@3': 0.41606, '@5': 0.45117, '@10': 0.52009}, 'Recall': {'@1': 0.17737, '@3': 0.38927, '@5': 0.4906, '@10': 0.65199}}","[0.44231, 0.41606, 0.45037, 0.51987]","[0.17737, 0.38916, 0.48929, 0.65188]","[1, 3, 5, 10]",mt-rag-clapnq-elser-512-100-20240503,224
"{'nDCG': {'@1': 0.26667, '@3': 0.24792, '@5': 0.2714, '@10': 0.30966}, 'Recall': {'@1': 0.10042, '@3': 0.23081, '@5': 0.29812, '@10': 0.39165}}","{'nDCG': {'@1': 0.26667, '@3': 0.25217, '@5': 0.27487, '@10': 0.3133}, 'Recall': {'@1': 0.10061, '@3': 0.23429, '@5': 0.30382, '@10': 0.39921}}","[0.26667, 0.24792, 0.2714, 0.30966]","[0.10042, 0.23081, 0.29812, 0.39165]","[1, 3, 5, 10]",mt-rag-fiqa-beir-elser-512-100-20240501,199
"{'nDCG': {'@1': 0.33831, '@3': 0.32785, '@5': 0.37203, '@10': 0.42845}, 'Recall': {'@1': 0.1399, '@3': 0.31143, '@5': 0.42109, '@10': 0.56086}}","{'nDCG': {'@1': 0.51741, '@3': 0.52909, '@5': 0.57495, '@10': 0.59003}, 'Recall': {'@1': 0.34171, '@3': 0.55108, '@5': 0.66095, '@10': 0.69884}}","[0.33831, 0.32785, 0.37203, 0.42845]","[0.1399, 0.31143, 0.42109, 0.56086]","[1, 3, 5, 10]",mt-rag-govt-elser-512-100-20240611,214
,,"[0.3366095724465558, 0.3173601781472684, 0.3514608669833729, 0.40277140142517814]","[0.13904745843230404, 0.30014863420427557, 0.38940997624703094, 0.5112627790973872]",,all,842
