strict,relaxed,nDCG,Recall,k_values,collection,count
"{'nDCG': {'@1': 0.5, '@3': 0.43449, '@5': 0.46957, '@10': 0.53883}, 'Recall': {'@1': 0.19892, '@3': 0.39196, '@5': 0.49009, '@10': 0.65576}}","{'nDCG': {'@1': 0.5, '@3': 0.43449, '@5': 0.47144, '@10': 0.53908}, 'Recall': {'@1': 0.19892, '@3': 0.39208, '@5': 0.49381, '@10': 0.65599}}","[0.5, 0.43449, 0.46957, 0.53883]","[0.19892, 0.39196, 0.49009, 0.65576]","[1, 3, 5, 10]",mt-rag-clapnq-elser-512-100-20240503,224
"{'nDCG': {'@1': 0.28333, '@3': 0.27628, '@5': 0.30179, '@10': 0.35652}, 'Recall': {'@1': 0.11048, '@3': 0.25618, '@5': 0.33202, '@10': 0.46254}}","{'nDCG': {'@1': 0.28333, '@3': 0.27973, '@5': 0.30743, '@10': 0.35991}, 'Recall': {'@1': 0.1139, '@3': 0.26118, '@5': 0.33999, '@10': 0.46454}}","[0.28333, 0.27628, 0.30179, 0.35652]","[0.11048, 0.25618, 0.33202, 0.46254]","[1, 3, 5, 10]",mt-rag-fiqa-beir-elser-512-100-20240501,199
"{'nDCG': {'@1': 0.26368, '@3': 0.30937, '@5': 0.34847, '@10': 0.39892}, 'Recall': {'@1': 0.12087, '@3': 0.31144, '@5': 0.40076, '@10': 0.52493}}","{'nDCG': {'@1': 0.45771, '@3': 0.49864, '@5': 0.52075, '@10': 0.54184}, 'Recall': {'@1': 0.31683, '@3': 0.52546, '@5': 0.57968, '@10': 0.62819}}","[0.26368, 0.30937, 0.34847, 0.39892]","[0.12087, 0.31144, 0.40076, 0.52493]","[1, 3, 5, 10]",mt-rag-govt-elser-512-100-20240611,214
"{'nDCG': {'@1': 0.33511, '@3': 0.29637, '@5': 0.32652, '@10': 0.37079}, 'Recall': {'@1': 0.15567, '@3': 0.28236, '@5': 0.35439, '@10': 0.45773}}","{'nDCG': {'@1': 0.39362, '@3': 0.39512, '@5': 0.43635, '@10': 0.47153}, 'Recall': {'@1': 0.22083, '@3': 0.40241, '@5': 0.49297, '@10': 0.5771}}","[0.33511, 0.29637, 0.32652, 0.37079]","[0.15567, 0.28236, 0.35439, 0.45773]","[1, 3, 5, 10]",mt-rag-ibmcloud-elser-512-100-20240502,205
,,"[0.3485840142517815, 0.3316704394299288, 0.36431005938242284, 0.4192710570071259]","[0.14765098574821853, 0.31272068883610454, 0.3969889904988123, 0.5286287054631829]",,all,842
