strict,relaxed,nDCG,Recall,k_values,collection,count
"{'nDCG': {'@1': 0.21154, '@3': 0.2003, '@5': 0.21262, '@10': 0.24077}, 'Recall': {'@1': 0.08586, '@3': 0.18298, '@5': 0.22961, '@10': 0.29323}}","{'nDCG': {'@1': 0.21154, '@3': 0.2003, '@5': 0.21262, '@10': 0.24077}, 'Recall': {'@1': 0.08586, '@3': 0.18298, '@5': 0.22961, '@10': 0.29323}}","[0.21154, 0.2003, 0.21262, 0.24077]","[0.08586, 0.18298, 0.22961, 0.29323]","[1, 3, 5, 10]",mt-rag-clapnq-elser-512-100-20240503,224
"{'nDCG': {'@1': 0.24444, '@3': 0.19017, '@5': 0.21525, '@10': 0.24422}, 'Recall': {'@1': 0.10737, '@3': 0.16505, '@5': 0.22755, '@10': 0.29243}}","{'nDCG': {'@1': 0.24444, '@3': 0.19294, '@5': 0.21757, '@10': 0.24892}, 'Recall': {'@1': 0.10755, '@3': 0.17098, '@5': 0.23255, '@10': 0.30243}}","[0.24444, 0.19017, 0.21525, 0.24422]","[0.10737, 0.16505, 0.22755, 0.29243]","[1, 3, 5, 10]",mt-rag-fiqa-beir-elser-512-100-20240501,199
"{'nDCG': {'@1': 0.199, '@3': 0.17732, '@5': 0.20193, '@10': 0.23797}, 'Recall': {'@1': 0.08223, '@3': 0.16755, '@5': 0.22125, '@10': 0.31047}}","{'nDCG': {'@1': 0.28358, '@3': 0.30977, '@5': 0.33659, '@10': 0.35957}, 'Recall': {'@1': 0.18259, '@3': 0.33881, '@5': 0.39652, '@10': 0.45423}}","[0.199, 0.17732, 0.20193, 0.23797]","[0.08223, 0.16755, 0.22125, 0.31047]","[1, 3, 5, 10]",mt-rag-govt-elser-512-100-20240611,214
"{'nDCG': {'@1': 0.19149, '@3': 0.18344, '@5': 0.20415, '@10': 0.23589}, 'Recall': {'@1': 0.10257, '@3': 0.18138, '@5': 0.22913, '@10': 0.30521}}","{'nDCG': {'@1': 0.21809, '@3': 0.22846, '@5': 0.25669, '@10': 0.30192}, 'Recall': {'@1': 0.14438, '@3': 0.22985, '@5': 0.29474, '@10': 0.40712}}","[0.19149, 0.18344, 0.20415, 0.23589]","[0.10257, 0.18138, 0.22913, 0.30521]","[1, 3, 5, 10]",mt-rag-ibmcloud-elser-512-100-20240502,205
,,"[0.21124699524940618, 0.18796046318289786, 0.2084624703087886, 0.23968561757719717]","[0.09408947743467933, 0.17443119952494063, 0.22688152019002378, 0.30033933491686465]",,all,842
