strict,relaxed,nDCG,Recall,k_values,collection,count
"{'nDCG': {'@1': 0.22872, '@3': 0.2232, '@5': 0.23861, '@10': 0.27195}, 'Recall': {'@1': 0.10833, '@3': 0.22349, '@5': 0.26622, '@10': 0.34496}}","{'nDCG': {'@1': 0.28723, '@3': 0.30131, '@5': 0.32657, '@10': 0.36212}, 'Recall': {'@1': 0.16113, '@3': 0.31372, '@5': 0.37657, '@10': 0.46363}}","[0.22872, 0.2232, 0.23861, 0.27195]","[0.10833, 0.22349, 0.26622, 0.34496]","[1, 3, 5, 10]",mt-rag-ibmcloud-elser-512-100-20240502,205
"{'nDCG': {'@1': 0.23889, '@3': 0.22976, '@5': 0.24295, '@10': 0.26586}, 'Recall': {'@1': 0.09792, '@3': 0.21196, '@5': 0.25566, '@10': 0.30918}}","{'nDCG': {'@1': 0.23889, '@3': 0.23656, '@5': 0.24817, '@10': 0.27113}, 'Recall': {'@1': 0.09792, '@3': 0.22344, '@5': 0.26548, '@10': 0.31844}}","[0.23889, 0.22976, 0.24295, 0.26586]","[0.09792, 0.21196, 0.25566, 0.30918]","[1, 3, 5, 10]",mt-rag-fiqa-beir-elser-512-100-20240501,199
"{'nDCG': {'@1': 0.25871, '@3': 0.23158, '@5': 0.2549, '@10': 0.297}, 'Recall': {'@1': 0.10462, '@3': 0.2147, '@5': 0.27847, '@10': 0.38333}}","{'nDCG': {'@1': 0.35323, '@3': 0.38617, '@5': 0.41504, '@10': 0.43795}, 'Recall': {'@1': 0.24138, '@3': 0.41418, '@5': 0.48317, '@10': 0.53765}}","[0.25871, 0.23158, 0.2549, 0.297]","[0.10462, 0.2147, 0.27847, 0.38333]","[1, 3, 5, 10]",mt-rag-govt-elser-512-100-20240611,214
"{'nDCG': {'@1': 0.31731, '@3': 0.30688, '@5': 0.33323, '@10': 0.3879}, 'Recall': {'@1': 0.13686, '@3': 0.29192, '@5': 0.3658, '@10': 0.49144}}","{'nDCG': {'@1': 0.31731, '@3': 0.308, '@5': 0.33349, '@10': 0.38816}, 'Recall': {'@1': 0.13686, '@3': 0.29312, '@5': 0.3658, '@10': 0.49144}}","[0.31731, 0.30688, 0.33323, 0.3879]","[0.13686, 0.29192, 0.3658, 0.49144]","[1, 3, 5, 10]",mt-rag-clapnq-elser-512-100-20240503,224
,,"[0.2623136460807601, 0.2491419002375297, 0.2689480047505938, 0.30772385985748213]","[0.11251668646080759, 0.236735593824228, 0.2933292399049881, 0.38522422802850353]",,all,842
