strict,relaxed,nDCG,Recall,k_values,collection,count
"{'nDCG': {'@1': 0.24468, '@3': 0.23795, '@5': 0.27597, '@10': 0.32141}, 'Recall': {'@1': 0.11211, '@3': 0.23278, '@5': 0.32054, '@10': 0.42808}}","{'nDCG': {'@1': 0.31915, '@3': 0.33503, '@5': 0.39923, '@10': 0.42799}, 'Recall': {'@1': 0.17682, '@3': 0.3451, '@5': 0.48907, '@10': 0.55831}}","[0.24468, 0.23795, 0.27597, 0.32141]","[0.11211, 0.23278, 0.32054, 0.42808]","[1, 3, 5, 10]",mt-rag-ibmcloud-elser-512-100-20240502,205
"{'nDCG': {'@1': 0.25, '@3': 0.22623, '@5': 0.25512, '@10': 0.31217}, 'Recall': {'@1': 0.10287, '@3': 0.20616, '@5': 0.27642, '@10': 0.41456}}","{'nDCG': {'@1': 0.25556, '@3': 0.237, '@5': 0.26252, '@10': 0.31827}, 'Recall': {'@1': 0.1038, '@3': 0.21751, '@5': 0.28239, '@10': 0.41841}}","[0.25, 0.22623, 0.25512, 0.31217]","[0.10287, 0.20616, 0.27642, 0.41456]","[1, 3, 5, 10]",mt-rag-fiqa-beir-elser-512-100-20240501,199
"{'nDCG': {'@1': 0.40385, '@3': 0.40322, '@5': 0.43872, '@10': 0.4989}, 'Recall': {'@1': 0.15889, '@3': 0.38318, '@5': 0.48523, '@10': 0.62831}}","{'nDCG': {'@1': 0.40385, '@3': 0.40435, '@5': 0.44047, '@10': 0.49963}, 'Recall': {'@1': 0.15889, '@3': 0.3845, '@5': 0.48775, '@10': 0.62842}}","[0.40385, 0.40322, 0.43872, 0.4989]","[0.15889, 0.38318, 0.48523, 0.62831]","[1, 3, 5, 10]",mt-rag-clapnq-elser-512-100-20240503,224
"{'nDCG': {'@1': 0.30348, '@3': 0.28144, '@5': 0.32833, '@10': 0.37747}, 'Recall': {'@1': 0.1185, '@3': 0.26147, '@5': 0.37416, '@10': 0.49426}}","{'nDCG': {'@1': 0.46766, '@3': 0.50865, '@5': 0.55206, '@10': 0.5637}, 'Recall': {'@1': 0.30622, '@3': 0.54138, '@5': 0.64784, '@10': 0.67745}}","[0.30348, 0.28144, 0.32833, 0.37747]","[0.1185, 0.26147, 0.37416, 0.49426]","[1, 3, 5, 10]",mt-rag-govt-elser-512-100-20240611,214
,,"[0.303226270783848, 0.2902006650831354, 0.3276468289786224, 0.38069247030878856]","[0.12399529691211401, 0.27379173396674583, 0.3675534916864608, 0.4949725890736342]",,all,842
