strict,relaxed,nDCG,Recall,k_values,collection,count
"{'nDCG': {'@1': 0.29787, '@3': 0.27601, '@5': 0.30844, '@10': 0.34773}, 'Recall': {'@1': 0.14087, '@3': 0.26791, '@5': 0.3426, '@10': 0.4345}}","{'nDCG': {'@1': 0.3617, '@3': 0.37443, '@5': 0.42507, '@10': 0.46072}, 'Recall': {'@1': 0.20736, '@3': 0.38569, '@5': 0.50042, '@10': 0.58251}}","[0.29787, 0.27601, 0.30844, 0.34773]","[0.14087, 0.26791, 0.3426, 0.4345]","[1, 3, 5, 10]",mt-rag-ibmcloud-elser-512-100-20240502,205
"{'nDCG': {'@1': 0.43269, '@3': 0.41246, '@5': 0.44289, '@10': 0.51494}, 'Recall': {'@1': 0.17296, '@3': 0.38852, '@5': 0.48395, '@10': 0.65403}}","{'nDCG': {'@1': 0.43269, '@3': 0.41246, '@5': 0.44456, '@10': 0.51614}, 'Recall': {'@1': 0.17296, '@3': 0.38863, '@5': 0.48647, '@10': 0.65535}}","[0.43269, 0.41246, 0.44289, 0.51494]","[0.17296, 0.38852, 0.48395, 0.65403]","[1, 3, 5, 10]",mt-rag-clapnq-elser-512-100-20240503,224
"{'nDCG': {'@1': 0.26667, '@3': 0.2472, '@5': 0.27532, '@10': 0.31713}, 'Recall': {'@1': 0.10135, '@3': 0.22849, '@5': 0.30558, '@10': 0.40698}}","{'nDCG': {'@1': 0.26667, '@3': 0.25014, '@5': 0.28106, '@10': 0.32157}, 'Recall': {'@1': 0.10153, '@3': 0.23118, '@5': 0.31684, '@10': 0.41454}}","[0.26667, 0.2472, 0.27532, 0.31713]","[0.10135, 0.22849, 0.30558, 0.40698]","[1, 3, 5, 10]",mt-rag-fiqa-beir-elser-512-100-20240501,199
"{'nDCG': {'@1': 0.33333, '@3': 0.33149, '@5': 0.37347, '@10': 0.42848}, 'Recall': {'@1': 0.13824, '@3': 0.31698, '@5': 0.42206, '@10': 0.55773}}","{'nDCG': {'@1': 0.52239, '@3': 0.53892, '@5': 0.57819, '@10': 0.59485}, 'Recall': {'@1': 0.34668, '@3': 0.56186, '@5': 0.65406, '@10': 0.69718}}","[0.33333, 0.33149, 0.37347, 0.42848]","[0.13824, 0.31698, 0.42206, 0.55773]","[1, 3, 5, 10]",mt-rag-govt-elser-512-100-20240611,214
,,"[0.33537513064133023, 0.3196018408551069, 0.35290833729216153, 0.405504513064133]","[0.1393983372921615, 0.3031511401425178, 0.3916497149643705, 0.5177178859857482]",,all,842
