strict,relaxed,nDCG,Recall,k_values,collection,count
"{'nDCG': {'@1': 0.25556, '@3': 0.2032, '@5': 0.23077, '@10': 0.2728}, 'Recall': {'@1': 0.10968, '@3': 0.17811, '@5': 0.24664, '@10': 0.34132}}","{'nDCG': {'@1': 0.25556, '@3': 0.20598, '@5': 0.23352, '@10': 0.27689}, 'Recall': {'@1': 0.10987, '@3': 0.18403, '@5': 0.25257, '@10': 0.34873}}","[0.25556, 0.2032, 0.23077, 0.2728]","[0.10968, 0.17811, 0.24664, 0.34132]","[1, 3, 5, 10]",mt-rag-fiqa-beir-elser-512-100-20240501,199
"{'nDCG': {'@1': 0.21809, '@3': 0.21526, '@5': 0.2357, '@10': 0.27484}, 'Recall': {'@1': 0.11454, '@3': 0.21468, '@5': 0.2642, '@10': 0.35382}}","{'nDCG': {'@1': 0.25532, '@3': 0.26967, '@5': 0.30089, '@10': 0.33572}, 'Recall': {'@1': 0.16565, '@3': 0.27657, '@5': 0.34723, '@10': 0.42675}}","[0.21809, 0.21526, 0.2357, 0.27484]","[0.11454, 0.21468, 0.2642, 0.35382]","[1, 3, 5, 10]",mt-rag-ibmcloud-elser-512-100-20240502,205
"{'nDCG': {'@1': 0.22596, '@3': 0.22117, '@5': 0.23421, '@10': 0.27152}, 'Recall': {'@1': 0.09107, '@3': 0.20477, '@5': 0.25357, '@10': 0.34043}}","{'nDCG': {'@1': 0.22596, '@3': 0.22117, '@5': 0.23421, '@10': 0.27152}, 'Recall': {'@1': 0.09107, '@3': 0.20477, '@5': 0.25357, '@10': 0.34043}}","[0.22596, 0.22117, 0.23421, 0.27152]","[0.09107, 0.20477, 0.25357, 0.34043]","[1, 3, 5, 10]",mt-rag-clapnq-elser-512-100-20240503,224
"{'nDCG': {'@1': 0.20896, '@3': 0.19986, '@5': 0.22985, '@10': 0.273}, 'Recall': {'@1': 0.08637, '@3': 0.1921, '@5': 0.25948, '@10': 0.3635}}","{'nDCG': {'@1': 0.29353, '@3': 0.33189, '@5': 0.3571, '@10': 0.37533}, 'Recall': {'@1': 0.18756, '@3': 0.36551, '@5': 0.42032, '@10': 0.46501}}","[0.20896, 0.19986, 0.22985, 0.273]","[0.08637, 0.1921, 0.25948, 0.3635]","[1, 3, 5, 10]",mt-rag-govt-elser-512-100-20240611,214
,,"[0.22671896674584321, 0.21006795724465557, 0.2326516270783848, 0.27300698337292156]","[0.09998798099762471, 0.19766172209026128, 0.2560222802850356, 0.34976377672209025]",,all,842
