strict,relaxed,nDCG,Recall,k_values,collection,count
"{'nDCG': {'@1': 0.27778, '@3': 0.21275, '@5': 0.23703, '@10': 0.27023}, 'Recall': {'@1': 0.1157, '@3': 0.18455, '@5': 0.24886, '@10': 0.32877}}","{'nDCG': {'@1': 0.27778, '@3': 0.21406, '@5': 0.23964, '@10': 0.27367}, 'Recall': {'@1': 0.11635, '@3': 0.18659, '@5': 0.25294, '@10': 0.33396}}","[0.27778, 0.21275, 0.23703, 0.27023]","[0.1157, 0.18455, 0.24886, 0.32877]","[1, 3, 5, 10]",mt-rag-fiqa-beir-elser-512-100-20240501,199
"{'nDCG': {'@1': 0.25373, '@3': 0.23235, '@5': 0.26886, '@10': 0.30628}, 'Recall': {'@1': 0.10485, '@3': 0.22221, '@5': 0.30287, '@10': 0.39458}}","{'nDCG': {'@1': 0.37811, '@3': 0.37805, '@5': 0.42774, '@10': 0.45999}, 'Recall': {'@1': 0.24975, '@3': 0.39577, '@5': 0.49809, '@10': 0.57902}}","[0.25373, 0.23235, 0.26886, 0.30628]","[0.10485, 0.22221, 0.30287, 0.39458]","[1, 3, 5, 10]",mt-rag-govt-elser-512-100-20240611,214
"{'nDCG': {'@1': 0.19712, '@3': 0.19305, '@5': 0.2017, '@10': 0.24426}, 'Recall': {'@1': 0.07396, '@3': 0.18178, '@5': 0.2192, '@10': 0.32056}}","{'nDCG': {'@1': 0.19712, '@3': 0.19305, '@5': 0.2017, '@10': 0.24426}, 'Recall': {'@1': 0.07396, '@3': 0.18178, '@5': 0.2192, '@10': 0.32056}}","[0.19712, 0.19305, 0.2017, 0.24426]","[0.07396, 0.18178, 0.2192, 0.32056]","[1, 3, 5, 10]",mt-rag-clapnq-elser-512-100-20240503,224
"{'nDCG': {'@1': 0.17021, '@3': 0.19082, '@5': 0.21444, '@10': 0.23706}, 'Recall': {'@1': 0.07381, '@3': 0.19909, '@5': 0.2569, '@10': 0.31179}}","{'nDCG': {'@1': 0.19149, '@3': 0.2451, '@5': 0.27848, '@10': 0.32588}, 'Recall': {'@1': 0.10732, '@3': 0.27099, '@5': 0.34786, '@10': 0.4625}}","[0.17021, 0.19082, 0.21444, 0.23706]","[0.07381, 0.19909, 0.2569, 0.31179]","[1, 3, 5, 10]",mt-rag-ibmcloud-elser-512-100-20240502,205
,,"[0.22401944180522565, 0.20715136579572446, 0.23022091448931115, 0.26440763657957245]","[0.09163929928741091, 0.19692465558194772, 0.2566539429928741, 0.33917783847981]",,all,842
