strict,relaxed,nDCG,Recall,k_values,collection,count
"{'nDCG': {'@1': 0.41827, '@3': 0.39682, '@5': 0.42874, '@10': 0.49004}, 'Recall': {'@1': 0.16755, '@3': 0.37353, '@5': 0.46728, '@10': 0.60755}}","{'nDCG': {'@1': 0.41827, '@3': 0.39682, '@5': 0.42955, '@10': 0.49031}, 'Recall': {'@1': 0.16755, '@3': 0.37365, '@5': 0.4686, '@10': 0.60767}}","[0.41827, 0.39682, 0.42874, 0.49004]","[0.16755, 0.37353, 0.46728, 0.60755]","[1, 3, 5, 10]",mt-rag-clapnq-elser-512-100-20240503,224
"{'nDCG': {'@1': 0.23333, '@3': 0.20974, '@5': 0.24117, '@10': 0.28831}, 'Recall': {'@1': 0.09944, '@3': 0.19024, '@5': 0.26169, '@10': 0.37554}}","{'nDCG': {'@1': 0.23889, '@3': 0.2222, '@5': 0.24908, '@10': 0.29406}, 'Recall': {'@1': 0.10037, '@3': 0.20344, '@5': 0.26767, '@10': 0.37754}}","[0.23333, 0.20974, 0.24117, 0.28831]","[0.09944, 0.19024, 0.26169, 0.37554]","[1, 3, 5, 10]",mt-rag-fiqa-beir-elser-512-100-20240501,199
"{'nDCG': {'@1': 0.25532, '@3': 0.23388, '@5': 0.27592, '@10': 0.31655}, 'Recall': {'@1': 0.11299, '@3': 0.22391, '@5': 0.31992, '@10': 0.41611}}","{'nDCG': {'@1': 0.33511, '@3': 0.33431, '@5': 0.39493, '@10': 0.42313}, 'Recall': {'@1': 0.17948, '@3': 0.33978, '@5': 0.47577, '@10': 0.54412}}","[0.25532, 0.23388, 0.27592, 0.31655]","[0.11299, 0.22391, 0.31992, 0.41611]","[1, 3, 5, 10]",mt-rag-ibmcloud-elser-512-100-20240502,205
"{'nDCG': {'@1': 0.31343, '@3': 0.29084, '@5': 0.34577, '@10': 0.39369}, 'Recall': {'@1': 0.12016, '@3': 0.27225, '@5': 0.40169, '@10': 0.51692}}","{'nDCG': {'@1': 0.46269, '@3': 0.50725, '@5': 0.54419, '@10': 0.56078}, 'Recall': {'@1': 0.29395, '@3': 0.54386, '@5': 0.63458, '@10': 0.67595}}","[0.31343, 0.29084, 0.34577, 0.39369]","[0.12016, 0.27225, 0.40169, 0.51692]","[1, 3, 5, 10]",mt-rag-govt-elser-512-100-20240611,214
,,"[0.3082420071258907, 0.2859989311163896, 0.32611516627078385, 0.37563546318289787]","[0.1261246437054632, 0.2680421971496437, 0.3661428622327791, 0.48307255344418054]",,all,842
