strict,relaxed,nDCG,Recall,k_values,collection,count
"{'nDCG': {'@1': 0.07222, '@3': 0.07386, '@5': 0.07624, '@10': 0.09603}, 'Recall': {'@1': 0.02472, '@3': 0.06741, '@5': 0.07935, '@10': 0.1245}}","{'nDCG': {'@1': 0.07222, '@3': 0.07386, '@5': 0.07624, '@10': 0.09609}, 'Recall': {'@1': 0.02472, '@3': 0.06741, '@5': 0.07935, '@10': 0.12468}}","[0.07222, 0.07386, 0.07624, 0.09603]","[0.02472, 0.06741, 0.07935, 0.1245]","[1, 3, 5, 10]",mt-rag-fiqa-beir-elser-512-100-20240501,199
"{'nDCG': {'@1': 0.1194, '@3': 0.10466, '@5': 0.12319, '@10': 0.14759}, 'Recall': {'@1': 0.05669, '@3': 0.09845, '@5': 0.13842, '@10': 0.19762}}","{'nDCG': {'@1': 0.20398, '@3': 0.21669, '@5': 0.24175, '@10': 0.25776}, 'Recall': {'@1': 0.13615, '@3': 0.23085, '@5': 0.28358, '@10': 0.32222}}","[0.1194, 0.10466, 0.12319, 0.14759]","[0.05669, 0.09845, 0.13842, 0.19762]","[1, 3, 5, 10]",mt-rag-govt-elser-512-100-20240611,214
"{'nDCG': {'@1': 0.01923, '@3': 0.02508, '@5': 0.03167, '@10': 0.04463}, 'Recall': {'@1': 0.00529, '@3': 0.02444, '@5': 0.04175, '@10': 0.07131}}","{'nDCG': {'@1': 0.01923, '@3': 0.02508, '@5': 0.03167, '@10': 0.04463}, 'Recall': {'@1': 0.00529, '@3': 0.02444, '@5': 0.04175, '@10': 0.07131}}","[0.01923, 0.02508, 0.03167, 0.04463]","[0.00529, 0.02444, 0.04175, 0.07131]","[1, 3, 5, 10]",mt-rag-clapnq-elser-512-100-20240503,224
"{'nDCG': {'@1': 0.02128, '@3': 0.03284, '@5': 0.03977, '@10': 0.04419}, 'Recall': {'@1': 0.00842, '@3': 0.04167, '@5': 0.05452, '@10': 0.06472}}","{'nDCG': {'@1': 0.04255, '@3': 0.0624, '@5': 0.07422, '@10': 0.0785}, 'Recall': {'@1': 0.02394, '@3': 0.07447, '@5': 0.09885, '@10': 0.10949}}","[0.02128, 0.03284, 0.03977, 0.04419]","[0.00842, 0.04167, 0.05452, 0.06472]","[1, 3, 5, 10]",mt-rag-ibmcloud-elser-512-100-20240502,205
,,"[0.05771175771971497, 0.05872387173396674, 0.06743628266033254, 0.08283883610451308]","[0.023707838479809975, 0.05760071258907363, 0.07831488123515438, 0.11437912114014252]",,all,842
