strict,relaxed,nDCG,Recall,k_values,collection,count
"{'nDCG': {'@1': 0.31383, '@3': 0.29725, '@5': 0.33294, '@10': 0.33277}, 'Recall': {'@1': 0.14725, '@3': 0.29101, '@5': 0.37124, '@10': 0.37124}}","{'nDCG': {'@1': 0.38298, '@3': 0.40146, '@5': 0.42809, '@10': 0.42771}, 'Recall': {'@1': 0.22172, '@3': 0.41278, '@5': 0.47874, '@10': 0.47874}}","[0.31383, 0.29725, 0.33294, 0.33277]","[0.14725, 0.29101, 0.37124, 0.37124]","[1, 3, 5, 10]",mt-rag-ibmcloud-elser-512-100-20240502,205
"{'nDCG': {'@1': 0.34826, '@3': 0.35429, '@5': 0.40004, '@10': 0.39735}, 'Recall': {'@1': 0.14695, '@3': 0.34815, '@5': 0.4601, '@10': 0.4601}}","{'nDCG': {'@1': 0.52239, '@3': 0.55889, '@5': 0.57424, '@10': 0.57396}, 'Recall': {'@1': 0.3597, '@3': 0.58905, '@5': 0.63109, '@10': 0.63109}}","[0.34826, 0.35429, 0.40004, 0.39735]","[0.14695, 0.34815, 0.4601, 0.4601]","[1, 3, 5, 10]",mt-rag-govt-elser-512-100-20240611,214
"{'nDCG': {'@1': 0.46635, '@3': 0.43365, '@5': 0.48745, '@10': 0.48463}, 'Recall': {'@1': 0.18474, '@3': 0.4031, '@5': 0.54236, '@10': 0.54236}}","{'nDCG': {'@1': 0.47115, '@3': 0.43591, '@5': 0.48852, '@10': 0.48578}, 'Recall': {'@1': 0.18594, '@3': 0.40442, '@5': 0.54248, '@10': 0.54248}}","[0.46635, 0.43365, 0.48745, 0.48463]","[0.18474, 0.4031, 0.54236, 0.54236]","[1, 3, 5, 10]",mt-rag-clapnq-elser-512-100-20240503,224
"{'nDCG': {'@1': 0.3, '@3': 0.27199, '@5': 0.30329, '@10': 0.3005}, 'Recall': {'@1': 0.112, '@3': 0.25086, '@5': 0.33493, '@10': 0.33493}}","{'nDCG': {'@1': 0.3, '@3': 0.27528, '@5': 0.30828, '@10': 0.30548}, 'Recall': {'@1': 0.11218, '@3': 0.25406, '@5': 0.34323, '@10': 0.34323}}","[0.3, 0.27199, 0.30329, 0.3005]","[0.112, 0.25086, 0.33493, 0.33493]","[1, 3, 5, 10]",mt-rag-fiqa-beir-elser-512-100-20240501,199
,,"[0.35988739904988126, 0.3420640380047506, 0.38409117577197155, 0.3819564964370546]","[0.14881628266033253, 0.3258630522565321, 0.43076640142517814, 0.43076640142517814]",,all,842
