strict,relaxed,nDCG,Recall,k_values,collection,count
"{'nDCG': {'@1': 0.23936, '@3': 0.22992, '@5': 0.26285, '@10': 0.29827}, 'Recall': {'@1': 0.11117, '@3': 0.2297, '@5': 0.30439, '@10': 0.38521}}","{'nDCG': {'@1': 0.29255, '@3': 0.32308, '@5': 0.3658, '@10': 0.39402}, 'Recall': {'@1': 0.1622, '@3': 0.34443, '@5': 0.44421, '@10': 0.50778}}","[0.23936, 0.22992, 0.26285, 0.29827]","[0.11117, 0.2297, 0.30439, 0.38521]","[1, 3, 5, 10]",mt-rag-ibmcloud-elser-512-100-20240502,205
"{'nDCG': {'@1': 0.36538, '@3': 0.337, '@5': 0.37399, '@10': 0.4357}, 'Recall': {'@1': 0.15213, '@3': 0.31219, '@5': 0.41211, '@10': 0.55659}}","{'nDCG': {'@1': 0.36538, '@3': 0.337, '@5': 0.37526, '@10': 0.43657}, 'Recall': {'@1': 0.15213, '@3': 0.31219, '@5': 0.41451, '@10': 0.55791}}","[0.36538, 0.337, 0.37399, 0.4357]","[0.15213, 0.31219, 0.41211, 0.55659]","[1, 3, 5, 10]",mt-rag-clapnq-elser-512-100-20240503,224
"{'nDCG': {'@1': 0.26866, '@3': 0.25462, '@5': 0.28555, '@10': 0.33833}, 'Recall': {'@1': 0.10793, '@3': 0.24472, '@5': 0.3236, '@10': 0.45195}}","{'nDCG': {'@1': 0.36816, '@3': 0.42271, '@5': 0.45709, '@10': 0.47314}, 'Recall': {'@1': 0.25381, '@3': 0.46327, '@5': 0.53789, '@10': 0.57587}}","[0.26866, 0.25462, 0.28555, 0.33833]","[0.10793, 0.24472, 0.3236, 0.45195]","[1, 3, 5, 10]",mt-rag-govt-elser-512-100-20240611,214
"{'nDCG': {'@1': 0.26111, '@3': 0.24861, '@5': 0.2694, '@10': 0.30097}, 'Recall': {'@1': 0.10459, '@3': 0.22909, '@5': 0.28816, '@10': 0.36511}}","{'nDCG': {'@1': 0.26667, '@3': 0.2549, '@5': 0.27343, '@10': 0.30422}, 'Recall': {'@1': 0.10552, '@3': 0.23501, '@5': 0.29335, '@10': 0.36788}}","[0.26111, 0.24861, 0.2694, 0.30097]","[0.10459, 0.22909, 0.28816, 0.36511]","[1, 3, 5, 10]",mt-rag-fiqa-beir-elser-512-100-20240501,199
,,"[0.2854727434679335, 0.2691017458432304, 0.29973433491686463, 0.345650593824228]","[0.11968812351543943, 0.2553183491686461, 0.33409362232779094, 0.44301472684085513]",,all,842
