strict,relaxed,nDCG,Recall,k_values,collection,count
"{'nDCG': {'@1': 0.23889, '@3': 0.20843, '@5': 0.23366, '@10': 0.27563}, 'Recall': {'@1': 0.09964, '@3': 0.18697, '@5': 0.25354, '@10': 0.3548}}","{'nDCG': {'@1': 0.23889, '@3': 0.20843, '@5': 0.23523, '@10': 0.27789}, 'Recall': {'@1': 0.09983, '@3': 0.18808, '@5': 0.25762, '@10': 0.35952}}","[0.23889, 0.20843, 0.23366, 0.27563]","[0.09964, 0.18697, 0.25354, 0.3548]","[1, 3, 5, 10]",mt-rag-fiqa-beir-elser-512-100-20240501,199
"{'nDCG': {'@1': 0.23383, '@3': 0.22157, '@5': 0.26044, '@10': 0.29963}, 'Recall': {'@1': 0.10627, '@3': 0.21447, '@5': 0.29731, '@10': 0.39415}}","{'nDCG': {'@1': 0.35323, '@3': 0.38611, '@5': 0.4208, '@10': 0.455}, 'Recall': {'@1': 0.24146, '@3': 0.41924, '@5': 0.49171, '@10': 0.57736}}","[0.23383, 0.22157, 0.26044, 0.29963]","[0.10627, 0.21447, 0.29731, 0.39415]","[1, 3, 5, 10]",mt-rag-govt-elser-512-100-20240611,214
"{'nDCG': {'@1': 0.15957, '@3': 0.18772, '@5': 0.20399, '@10': 0.23883}, 'Recall': {'@1': 0.07571, '@3': 0.20461, '@5': 0.24583, '@10': 0.32856}}","{'nDCG': {'@1': 0.19681, '@3': 0.24693, '@5': 0.28173, '@10': 0.32401}, 'Recall': {'@1': 0.10732, '@3': 0.28556, '@5': 0.35774, '@10': 0.45904}}","[0.15957, 0.18772, 0.20399, 0.23883]","[0.07571, 0.20461, 0.24583, 0.32856]","[1, 3, 5, 10]",mt-rag-ibmcloud-elser-512-100-20240502,205
"{'nDCG': {'@1': 0.23077, '@3': 0.20163, '@5': 0.22155, '@10': 0.25388}, 'Recall': {'@1': 0.08202, '@3': 0.18194, '@5': 0.24203, '@10': 0.32032}}","{'nDCG': {'@1': 0.23077, '@3': 0.20163, '@5': 0.22155, '@10': 0.25388}, 'Recall': {'@1': 0.08202, '@3': 0.18194, '@5': 0.24203, '@10': 0.32032}}","[0.23077, 0.20163, 0.22155, 0.25388]","[0.08202, 0.18194, 0.24203, 0.32032]","[1, 3, 5, 10]",mt-rag-clapnq-elser-512-100-20240503,224
,,"[0.2161319002375297, 0.2049183729216152, 0.23002096199524943, 0.266983919239905]","[0.09081136579572448, 0.1969159382422803, 0.2597252612826603, 0.34923964370546323]",,all,842
