strict,relaxed,nDCG,Recall,k_values,collection,count
"{'nDCG': {'@1': 0.30851, '@3': 0.28773, '@5': 0.32077, '@10': 0.36428}, 'Recall': {'@1': 0.14371, '@3': 0.27948, '@5': 0.3579, '@10': 0.46021}}","{'nDCG': {'@1': 0.38298, '@3': 0.3886, '@5': 0.43714, '@10': 0.47207}, 'Recall': {'@1': 0.21817, '@3': 0.39828, '@5': 0.50946, '@10': 0.59031}}","[0.30851, 0.28773, 0.32077, 0.36428]","[0.14371, 0.27948, 0.3579, 0.46021]","[1, 3, 5, 10]",mt-rag-ibmcloud-elser-512-100-20240502,205
"{'nDCG': {'@1': 0.28889, '@3': 0.25953, '@5': 0.29165, '@10': 0.34091}, 'Recall': {'@1': 0.10728, '@3': 0.23914, '@5': 0.32225, '@10': 0.43898}}","{'nDCG': {'@1': 0.28889, '@3': 0.26413, '@5': 0.29908, '@10': 0.34568}, 'Recall': {'@1': 0.10746, '@3': 0.24262, '@5': 0.33628, '@10': 0.44653}}","[0.28889, 0.25953, 0.29165, 0.34091]","[0.10728, 0.23914, 0.32225, 0.43898]","[1, 3, 5, 10]",mt-rag-fiqa-beir-elser-512-100-20240501,199
"{'nDCG': {'@1': 0.33333, '@3': 0.33672, '@5': 0.37927, '@10': 0.42687}, 'Recall': {'@1': 0.13741, '@3': 0.32562, '@5': 0.43383, '@10': 0.55115}}","{'nDCG': {'@1': 0.51244, '@3': 0.54493, '@5': 0.58056, '@10': 0.59701}, 'Recall': {'@1': 0.34295, '@3': 0.5762, '@5': 0.65804, '@10': 0.69818}}","[0.33333, 0.33672, 0.37927, 0.42687]","[0.13741, 0.32562, 0.43383, 0.55115]","[1, 3, 5, 10]",mt-rag-govt-elser-512-100-20240611,214
"{'nDCG': {'@1': 0.45192, '@3': 0.41977, '@5': 0.45593, '@10': 0.52731}, 'Recall': {'@1': 0.17809, '@3': 0.39132, '@5': 0.49958, '@10': 0.66666}}","{'nDCG': {'@1': 0.45192, '@3': 0.42267, '@5': 0.45732, '@10': 0.52842}, 'Recall': {'@1': 0.17809, '@3': 0.39504, '@5': 0.50089, '@10': 0.66688}}","[0.45192, 0.41977, 0.45593, 0.52731]","[0.17809, 0.39132, 0.49958, 0.66666]","[1, 3, 5, 10]",mt-rag-clapnq-elser-512-100-20240503,224
,,"[0.34833296912114015, 0.3286433254156769, 0.364712945368171, 0.41803576009501187]","[0.14264509501187647, 0.3114259144893112, 0.4064641211401425, 0.5332280403800475]",,all,842
