strict,relaxed,nDCG,Recall,k_values,collection,count
"{'nDCG': {'@1': 0.02885, '@3': 0.04071, '@5': 0.06991, '@10': 0.1821}, 'Recall': {'@1': 0.01178, '@3': 0.04103, '@5': 0.10112, '@10': 0.37473}}","{'nDCG': {'@1': 0.02885, '@3': 0.04071, '@5': 0.06991, '@10': 0.18218}, 'Recall': {'@1': 0.01178, '@3': 0.04103, '@5': 0.10112, '@10': 0.37473}}","[0.02885, 0.04071, 0.06991, 0.1821]","[0.01178, 0.04103, 0.10112, 0.37473]","[1, 3, 5, 10]",mt-rag-clapnq-elser-512-100-20240503,224
"{'nDCG': {'@1': 0.0597, '@3': 0.06535, '@5': 0.09682, '@10': 0.22581}, 'Recall': {'@1': 0.02128, '@3': 0.06228, '@5': 0.12478, '@10': 0.4575}}","{'nDCG': {'@1': 0.17413, '@3': 0.25094, '@5': 0.31781, '@10': 0.36778}, 'Recall': {'@1': 0.10381, '@3': 0.30124, '@5': 0.44851, '@10': 0.58027}}","[0.0597, 0.06535, 0.09682, 0.22581]","[0.02128, 0.06228, 0.12478, 0.4575]","[1, 3, 5, 10]",mt-rag-govt-elser-512-100-20240611,214
"{'nDCG': {'@1': 0.01596, '@3': 0.03349, '@5': 0.05452, '@10': 0.16325}, 'Recall': {'@1': 0.00665, '@3': 0.0367, '@5': 0.07739, '@10': 0.35976}}","{'nDCG': {'@1': 0.07447, '@3': 0.13169, '@5': 0.17561, '@10': 0.25773}, 'Recall': {'@1': 0.03356, '@3': 0.15081, '@5': 0.24434, '@10': 0.45702}}","[0.01596, 0.03349, 0.05452, 0.16325]","[0.00665, 0.0367, 0.07739, 0.35976]","[1, 3, 5, 10]",mt-rag-ibmcloud-elser-512-100-20240502,205
"{'nDCG': {'@1': 0.05, '@3': 0.06218, '@5': 0.09263, '@10': 0.20453}, 'Recall': {'@1': 0.01667, '@3': 0.05944, '@5': 0.11978, '@10': 0.39415}}","{'nDCG': {'@1': 0.05, '@3': 0.06218, '@5': 0.09553, '@10': 0.207}, 'Recall': {'@1': 0.01667, '@3': 0.06009, '@5': 0.12524, '@10': 0.39721}}","[0.05, 0.06218, 0.09263, 0.20453]","[0.01667, 0.05944, 0.11978, 0.39415]","[1, 3, 5, 10]",mt-rag-fiqa-beir-elser-512-100-20240501,199
,,"[0.03855106888361045, 0.05028884798099762, 0.0783720783847981, 0.193920973871734]","[0.014101211401425178, 0.04972767220902613, 0.10576599762470308, 0.39671160332541566]",,all,842
