strict,relaxed,nDCG,Recall,k_values,collection,count
"{'nDCG': {'@1': 0.4375, '@3': 0.42013, '@5': 0.46927, '@10': 0.46633}, 'Recall': {'@1': 0.1736, '@3': 0.39336, '@5': 0.52225, '@10': 0.52225}}","{'nDCG': {'@1': 0.44231, '@3': 0.42239, '@5': 0.47034, '@10': 0.46748}, 'Recall': {'@1': 0.17481, '@3': 0.39468, '@5': 0.52237, '@10': 0.52237}}","[0.4375, 0.42013, 0.46927, 0.46633]","[0.1736, 0.39336, 0.52225, 0.52225]","[1, 3, 5, 10]",mt-rag-clapnq-elser-512-100-20240503,224
"{'nDCG': {'@1': 0.31343, '@3': 0.30783, '@5': 0.34738, '@10': 0.34482}, 'Recall': {'@1': 0.12514, '@3': 0.29802, '@5': 0.39284, '@10': 0.39284}}","{'nDCG': {'@1': 0.46766, '@3': 0.51812, '@5': 0.52801, '@10': 0.52764}, 'Recall': {'@1': 0.30605, '@3': 0.55755, '@5': 0.58988, '@10': 0.58988}}","[0.31343, 0.30783, 0.34738, 0.34482]","[0.12514, 0.29802, 0.39284, 0.39284]","[1, 3, 5, 10]",mt-rag-govt-elser-512-100-20240611,214
"{'nDCG': {'@1': 0.26596, '@3': 0.27716, '@5': 0.31349, '@10': 0.31276}, 'Recall': {'@1': 0.1176, '@3': 0.28074, '@5': 0.3654, '@10': 0.3654}}","{'nDCG': {'@1': 0.33511, '@3': 0.37852, '@5': 0.40634, '@10': 0.40561}, 'Recall': {'@1': 0.18055, '@3': 0.39749, '@5': 0.46921, '@10': 0.46921}}","[0.26596, 0.27716, 0.31349, 0.31276]","[0.1176, 0.28074, 0.3654, 0.3654]","[1, 3, 5, 10]",mt-rag-ibmcloud-elser-512-100-20240502,205
"{'nDCG': {'@1': 0.27778, '@3': 0.24991, '@5': 0.29271, '@10': 0.29078}, 'Recall': {'@1': 0.11181, '@3': 0.22344, '@5': 0.3289, '@10': 0.3289}}","{'nDCG': {'@1': 0.28889, '@3': 0.25796, '@5': 0.29797, '@10': 0.29612}, 'Recall': {'@1': 0.11848, '@3': 0.22757, '@5': 0.3309, '@10': 0.3309}}","[0.27778, 0.24991, 0.29271, 0.29078]","[0.11181, 0.22344, 0.3289, 0.3289]","[1, 3, 5, 10]",mt-rag-fiqa-beir-elser-512-100-20240501,199
,,"[0.326453729216152, 0.31654944180522565, 0.35863484560570075, 0.35656819477434676]","[0.133045783847981, 0.30155009501187646, 0.4054748931116389, 0.4054748931116389]",,all,842
