strict,relaxed,nDCG,Recall,k_values,collection,count
"{'nDCG': {'@1': 0.25373, '@3': 0.25305, '@5': 0.28821, '@10': 0.33681}, 'Recall': {'@1': 0.10402, '@3': 0.24685, '@5': 0.33032, '@10': 0.4489}}","{'nDCG': {'@1': 0.39801, '@3': 0.41254, '@5': 0.44613, '@10': 0.46875}, 'Recall': {'@1': 0.26095, '@3': 0.43823, '@5': 0.5092, '@10': 0.56617}}","[0.25373, 0.25305, 0.28821, 0.33681]","[0.10402, 0.24685, 0.33032, 0.4489]","[1, 3, 5, 10]",mt-rag-govt-elser-512-100-20240611,214
"{'nDCG': {'@1': 0.3, '@3': 0.23657, '@5': 0.25871, '@10': 0.3081}, 'Recall': {'@1': 0.12357, '@3': 0.20955, '@5': 0.27062, '@10': 0.38721}}","{'nDCG': {'@1': 0.3, '@3': 0.23787, '@5': 0.26275, '@10': 0.31184}, 'Recall': {'@1': 0.12422, '@3': 0.21159, '@5': 0.27747, '@10': 0.39443}}","[0.3, 0.23657, 0.25871, 0.3081]","[0.12357, 0.20955, 0.27062, 0.38721]","[1, 3, 5, 10]",mt-rag-fiqa-beir-elser-512-100-20240501,199
"{'nDCG': {'@1': 0.17021, '@3': 0.21312, '@5': 0.23169, '@10': 0.26163}, 'Recall': {'@1': 0.07647, '@3': 0.2279, '@5': 0.2776, '@10': 0.34683}}","{'nDCG': {'@1': 0.18617, '@3': 0.27405, '@5': 0.31308, '@10': 0.33774}, 'Recall': {'@1': 0.10555, '@3': 0.31398, '@5': 0.39825, '@10': 0.45579}}","[0.17021, 0.21312, 0.23169, 0.26163]","[0.07647, 0.2279, 0.2776, 0.34683]","[1, 3, 5, 10]",mt-rag-ibmcloud-elser-512-100-20240502,205
"{'nDCG': {'@1': 0.20673, '@3': 0.21857, '@5': 0.23346, '@10': 0.27982}, 'Recall': {'@1': 0.07625, '@3': 0.21022, '@5': 0.26198, '@10': 0.37152}}","{'nDCG': {'@1': 0.20673, '@3': 0.21857, '@5': 0.23346, '@10': 0.27985}, 'Recall': {'@1': 0.07625, '@3': 0.21022, '@5': 0.26198, '@10': 0.37152}}","[0.20673, 0.21857, 0.23346, 0.27982]","[0.07625, 0.21022, 0.26198, 0.37152]","[1, 3, 5, 10]",mt-rag-clapnq-elser-512-100-20240503,224
,,"[0.231827541567696, 0.2302605819477435, 0.25291178147268406, 0.2965594655581948]","[0.09454520190023753, 0.22367592636579575, 0.28519403800475057, 0.3888836342042755]",,all,842
