strict,relaxed,nDCG,Recall,k_values,collection,count
"{'nDCG': {'@1': 0.2234, '@3': 0.22389, '@5': 0.24818, '@10': 0.28366}, 'Recall': {'@1': 0.10085, '@3': 0.22019, '@5': 0.28171, '@10': 0.3654}}","{'nDCG': {'@1': 0.30851, '@3': 0.31703, '@5': 0.36395, '@10': 0.41228}, 'Recall': {'@1': 0.16911, '@3': 0.32187, '@5': 0.43127, '@10': 0.55166}}","[0.2234, 0.22389, 0.24818, 0.28366]","[0.10085, 0.22019, 0.28171, 0.3654]","[1, 3, 5, 10]",mt-rag-ibmcloud-elser-512-100-20240502,205
"{'nDCG': {'@1': 0.38942, '@3': 0.37302, '@5': 0.39611, '@10': 0.45589}, 'Recall': {'@1': 0.15609, '@3': 0.35541, '@5': 0.42677, '@10': 0.56488}}","{'nDCG': {'@1': 0.38942, '@3': 0.37302, '@5': 0.39692, '@10': 0.45796}, 'Recall': {'@1': 0.15609, '@3': 0.35553, '@5': 0.42809, '@10': 0.5686}}","[0.38942, 0.37302, 0.39611, 0.45589]","[0.15609, 0.35541, 0.42677, 0.56488]","[1, 3, 5, 10]",mt-rag-clapnq-elser-512-100-20240503,224
"{'nDCG': {'@1': 0.22778, '@3': 0.19567, '@5': 0.21493, '@10': 0.26202}, 'Recall': {'@1': 0.09546, '@3': 0.17343, '@5': 0.22181, '@10': 0.33021}}","{'nDCG': {'@1': 0.23333, '@3': 0.20445, '@5': 0.2208, '@10': 0.26784}, 'Recall': {'@1': 0.09639, '@3': 0.18398, '@5': 0.227, '@10': 0.33591}}","[0.22778, 0.19567, 0.21493, 0.26202]","[0.09546, 0.17343, 0.22181, 0.33021]","[1, 3, 5, 10]",mt-rag-fiqa-beir-elser-512-100-20240501,199
"{'nDCG': {'@1': 0.28358, '@3': 0.26909, '@5': 0.30789, '@10': 0.35899}, 'Recall': {'@1': 0.11021, '@3': 0.25135, '@5': 0.35057, '@10': 0.47434}}","{'nDCG': {'@1': 0.44279, '@3': 0.47833, '@5': 0.51715, '@10': 0.55817}, 'Recall': {'@1': 0.28731, '@3': 0.50862, '@5': 0.60199, '@10': 0.7073}}","[0.28358, 0.26909, 0.30789, 0.35899]","[0.11021, 0.25135, 0.35057, 0.47434]","[1, 3, 5, 10]",mt-rag-govt-elser-512-100-20240611,214
,,"[0.2838971733966746, 0.2683818527315915, 0.29485162707838475, 0.34351009501187646]","[0.11665070071258908, 0.25303118764845606, 0.3236451306413302, 0.43783927553444185]",,all,842
