strict,relaxed,nDCG,Recall,k_values,collection,count
"{'nDCG': {'@1': 0.26667, '@3': 0.2344, '@5': 0.25779, '@10': 0.30726}, 'Recall': {'@1': 0.1089, '@3': 0.20938, '@5': 0.27623, '@10': 0.3923}}","{'nDCG': {'@1': 0.26667, '@3': 0.23548, '@5': 0.26029, '@10': 0.309}, 'Recall': {'@1': 0.10909, '@3': 0.21345, '@5': 0.28123, '@10': 0.39536}}","[0.26667, 0.2344, 0.25779, 0.30726]","[0.1089, 0.20938, 0.27623, 0.3923]","[1, 3, 5, 10]",mt-rag-fiqa-beir-elser-512-100-20240501,199
"{'nDCG': {'@1': 0.24519, '@3': 0.22381, '@5': 0.24839, '@10': 0.29031}, 'Recall': {'@1': 0.09083, '@3': 0.20614, '@5': 0.27641, '@10': 0.37633}}","{'nDCG': {'@1': 0.24519, '@3': 0.22381, '@5': 0.24839, '@10': 0.29031}, 'Recall': {'@1': 0.09083, '@3': 0.20614, '@5': 0.27641, '@10': 0.37633}}","[0.24519, 0.22381, 0.24839, 0.29031]","[0.09083, 0.20614, 0.27641, 0.37633]","[1, 3, 5, 10]",mt-rag-clapnq-elser-512-100-20240503,224
"{'nDCG': {'@1': 0.19149, '@3': 0.21062, '@5': 0.23465, '@10': 0.27137}, 'Recall': {'@1': 0.08901, '@3': 0.22204, '@5': 0.28104, '@10': 0.36331}}","{'nDCG': {'@1': 0.23404, '@3': 0.28483, '@5': 0.31772, '@10': 0.34993}, 'Recall': {'@1': 0.13037, '@3': 0.31881, '@5': 0.38756, '@10': 0.46221}}","[0.19149, 0.21062, 0.23465, 0.27137]","[0.08901, 0.22204, 0.28104, 0.36331]","[1, 3, 5, 10]",mt-rag-ibmcloud-elser-512-100-20240502,205
"{'nDCG': {'@1': 0.23383, '@3': 0.24011, '@5': 0.28355, '@10': 0.33661}, 'Recall': {'@1': 0.10627, '@3': 0.23736, '@5': 0.33272, '@10': 0.4575}}","{'nDCG': {'@1': 0.36318, '@3': 0.40851, '@5': 0.4428, '@10': 0.46753}, 'Recall': {'@1': 0.24395, '@3': 0.44386, '@5': 0.5165, '@10': 0.58027}}","[0.23383, 0.24011, 0.28355, 0.33661]","[0.10627, 0.23736, 0.33272, 0.4575]","[1, 3, 5, 10]",mt-rag-govt-elser-512-100-20240611,214
,,"[0.23430517814726842, 0.2272442755344418, 0.25620251781472686, 0.30147217339667465]","[0.09858176959619953, 0.21871166270783848, 0.29180628266033254, 0.39756433491686466]",,all,842
