strict,relaxed,nDCG,Recall,k_values,collection,count
"{'nDCG': {'@1': 0.43269, '@3': 0.40664, '@5': 0.44832, '@10': 0.52453}, 'Recall': {'@1': 0.17312, '@3': 0.38155, '@5': 0.49626, '@10': 0.6768}}","{'nDCG': {'@1': 0.4375, '@3': 0.4115, '@5': 0.45134, '@10': 0.52706}, 'Recall': {'@1': 0.17432, '@3': 0.38647, '@5': 0.49878, '@10': 0.67811}}","[0.43269, 0.40664, 0.44832, 0.52453]","[0.17312, 0.38155, 0.49626, 0.6768]","[1, 3, 5, 10]",mt-rag-clapnq-elser-512-100-20240503,224
"{'nDCG': {'@1': 0.26667, '@3': 0.25016, '@5': 0.27502, '@10': 0.32639}, 'Recall': {'@1': 0.1044, '@3': 0.23603, '@5': 0.2991, '@10': 0.41741}}","{'nDCG': {'@1': 0.26667, '@3': 0.25311, '@5': 0.28067, '@10': 0.32986}, 'Recall': {'@1': 0.1044, '@3': 0.23872, '@5': 0.31049, '@10': 0.42417}}","[0.26667, 0.25016, 0.27502, 0.32639]","[0.1044, 0.23603, 0.2991, 0.41741]","[1, 3, 5, 10]",mt-rag-fiqa-beir-elser-512-100-20240501,199
"{'nDCG': {'@1': 0.33333, '@3': 0.32969, '@5': 0.36671, '@10': 0.42553}, 'Recall': {'@1': 0.1399, '@3': 0.31488, '@5': 0.40978, '@10': 0.55582}}","{'nDCG': {'@1': 0.51741, '@3': 0.52957, '@5': 0.57394, '@10': 0.59089}, 'Recall': {'@1': 0.34585, '@3': 0.549, '@5': 0.65423, '@10': 0.699}}","[0.33333, 0.32969, 0.36671, 0.42553]","[0.1399, 0.31488, 0.40978, 0.55582]","[1, 3, 5, 10]",mt-rag-govt-elser-512-100-20240611,214
"{'nDCG': {'@1': 0.29255, '@3': 0.26722, '@5': 0.29946, '@10': 0.33711}, 'Recall': {'@1': 0.13865, '@3': 0.25608, '@5': 0.33273, '@10': 0.42072}}","{'nDCG': {'@1': 0.37766, '@3': 0.37681, '@5': 0.43495, '@10': 0.4591}, 'Recall': {'@1': 0.21667, '@3': 0.38051, '@5': 0.51212, '@10': 0.56815}}","[0.29255, 0.26722, 0.29946, 0.33711]","[0.13865, 0.25608, 0.33273, 0.42072]","[1, 3, 5, 10]",mt-rag-ibmcloud-elser-512-100-20240502,205
,,"[0.3340798812351544, 0.3161555344418053, 0.35037755344418053, 0.4069089073634205]","[0.14004314726840852, 0.2996649524940618, 0.3878690142517815, 0.5224000831353919]",,all,842
